Sum of 8.71,Column Labels,,,,,,,,,,
Row Labels,DO,EC,GRV,MapLocation,ORP,PH,Sal,TDS,Temp,(blank),Grand Total
2017-04-01T21:31:46.718006,,,,,,,,,,,
2017-04-01T21:31:46.718030,,,,,,5.934,,,,,5.934
2017-04-01T21:31:46.718039,,2855,,,,,,,,,2855
2017-04-01T21:31:46.718047,,,,,,,,,31.34,,31.34
2017-04-01T21:31:46.718054,,,,,,,,1541,,,1541
2017-04-01T21:31:46.718061,,,,,,,1.47,,,,1.47
2017-04-01T21:31:46.718067,,,1.001,,,,,,,,1.001
2017-04-01T21:31:46.718075,,,,0,,,,,,,0
2017-04-01T21:31:58.614040,8.85,,,,,,,,,,8.85
2017-04-01T21:31:58.614069,,,,,,,,,,,
2017-04-01T21:31:58.614081,,,,,,5.934,,,,,5.934
2017-04-01T21:31:58.614091,,2855,,,,,,,,,2855
2017-04-01T21:31:58.614100,,,,,,,,,31.1,,31.1
2017-04-01T21:31:58.614108,,,,,,,,1542,,,1542
2017-04-01T21:31:58.614116,,,,,,,1.47,,,,1.47
2017-04-01T21:31:58.614123,,,1.001,,,,,,,,1.001
2017-04-01T21:31:58.614132,,,,0,,,,,,,0
2017-04-01T21:32:10.549498,8.89,,,,,,,,,,8.89
2017-04-01T21:32:10.549529,,,,,,,,,,,
2017-04-01T21:32:10.549541,,,,,,5.928,,,,,5.928
2017-04-01T21:32:10.549551,,2855,,,,,,,,,2855
2017-04-01T21:32:10.549559,,,,,,,,,31.1,,31.1
2017-04-01T21:32:10.549570,,,,,,,,1541,,,1541
2017-04-01T21:32:10.549578,,,,,,,1.47,,,,1.47
2017-04-01T21:32:10.549586,,,1.001,,,,,,,,1.001
2017-04-01T21:32:10.549593,,,,0,,,,,,,0
2017-04-01T21:32:22.120613,8.9,,,,,,,,,,8.9
2017-04-01T21:32:22.120640,,,,,,,,,,,
2017-04-01T21:32:22.120650,,,,,,5.925,,,,,5.925
2017-04-01T21:32:22.120658,,2855,,,,,,,,,2855
2017-04-01T21:32:22.120666,,,,,,,,,31.1,,31.1
2017-04-01T21:32:22.120673,,,,,,,,1541,,,1541
2017-04-01T21:32:22.120680,,,,,,,1.47,,,,1.47
2017-04-01T21:32:22.120687,,,1.001,,,,,,,,1.001
2017-04-01T21:32:22.120693,,,,0,,,,,,,0
2017-04-01T21:32:34.496746,8.93,,,,,,,,,,8.93
2017-04-01T21:32:34.496778,,,,,,,,,,,
2017-04-01T21:32:34.496790,,,,,,5.924,,,,,5.924
2017-04-01T21:32:34.496799,,2855,,,,,,,,,2855
2017-04-01T21:32:34.496807,,,,,,,,,31.1,,31.1
2017-04-01T21:32:34.496815,,,,,,,,1542,,,1542
2017-04-01T21:32:34.496822,,,,,,,1.47,,,,1.47
2017-04-01T21:32:34.496830,,,1.001,,,,,,,,1.001
2017-04-01T21:32:34.496838,,,,0,,,,,,,0
2017-04-01T21:32:46.059927,8.96,,,,,,,,,,8.96
2017-04-01T21:32:46.059961,,,,,,,,,,,
2017-04-01T21:32:46.059974,,,,,,5.934,,,,,5.934
2017-04-01T21:32:46.059985,,2855,,,,,,,,,2855
2017-04-01T21:32:46.059994,,,,,,,,,32.08,,32.08
2017-04-01T21:32:46.060003,,,,,,,,1542,,,1542
2017-04-01T21:32:46.060012,,,,,,,1.47,,,,1.47
2017-04-01T21:32:46.060021,,,1.001,,,,,,,,1.001
2017-04-01T21:32:46.060030,,,,0,,,,,,,0
2017-04-01T21:32:58.372649,8.91,,,,,,,,,,8.91
2017-04-01T21:32:58.372681,,,,,,,,,,,
2017-04-01T21:32:58.372693,,,,,,5.925,,,,,5.925
2017-04-01T21:32:58.372702,,2855,,,,,,,,,2855
2017-04-01T21:32:58.372716,,,,,,,,,31.1,,31.1
2017-04-01T21:32:58.372725,,,,,,,,1542,,,1542
2017-04-01T21:32:58.372732,,,,,,,1.47,,,,1.47
2017-04-01T21:32:58.372740,,,1.001,,,,,,,,1.001
2017-04-01T21:32:58.372747,,,,0,,,,,,,0
2017-04-01T21:33:09.915588,8.9,,,,,,,,,,8.9
2017-04-01T21:33:09.915622,,,,,,,,,,,
2017-04-01T21:33:09.915635,,,,,,5.928,,,,,5.928
2017-04-01T21:33:09.915645,,2855,,,,,,,,,2855
2017-04-01T21:33:09.915654,,,,,,,,,31.1,,31.1
2017-04-01T21:33:09.915662,,,,,,,,1541,,,1541
2017-04-01T21:33:09.915671,,,,,,,1.47,,,,1.47
2017-04-01T21:33:09.915679,,,1.001,,,,,,,,1.001
2017-04-01T21:33:09.915687,,,,0,,,,,,,0
2017-04-01T21:33:22.329818,8.84,,,,,,,,,,8.84
2017-04-01T21:33:22.329853,,,,,,,,,,,
2017-04-01T21:33:22.329867,,,,,,5.931,,,,,5.931
2017-04-01T21:33:22.329877,,2855,,,,,,,,,2855
2017-04-01T21:33:22.329887,,,,,,,,,31.1,,31.1
2017-04-01T21:33:22.329896,,,,,,,,1541,,,1541
2017-04-01T21:33:22.329904,,,,,,,1.47,,,,1.47
2017-04-01T21:33:22.329914,,,1.001,,,,,,,,1.001
2017-04-01T21:33:22.329922,,,,0,,,,,,,0
2017-04-01T21:33:34.367450,8.81,,,,,,,,,,8.81
2017-04-01T21:33:34.367517,,,,,,,,,,,
2017-04-01T21:33:34.367536,,,,,,5.934,,,,,5.934
2017-04-01T21:33:34.367547,,2849,,,,,,,,,2849
2017-04-01T21:33:34.367557,,,,,,,,,31.34,,31.34
2017-04-01T21:33:34.367566,,,,,,,,1538,,,1538
2017-04-01T21:33:34.367574,,,,,,,1.47,,,,1.47
2017-04-01T21:33:34.367584,,,1.001,,,,,,,,1.001
2017-04-01T21:33:34.367592,,,,0,,,,,,,0
2017-04-01T21:33:45.898974,8.82,,,,,,,,,,8.82
2017-04-01T21:33:45.899005,,,,,,,,,,,
2017-04-01T21:33:45.899018,,,,,,5.924,,,,,5.924
2017-04-01T21:33:45.899027,,2855,,,,,,,,,2855
2017-04-01T21:33:45.899035,,,,,,,,,31.1,,31.1
2017-04-01T21:33:45.899043,,,,,,,,1541,,,1541
2017-04-01T21:33:45.899050,,,,,,,1.47,,,,1.47
2017-04-01T21:33:45.899058,,,1.001,,,,,,,,1.001
2017-04-01T21:33:45.899065,,,,0,,,,,,,0
2017-04-01T21:33:57.889591,8.87,,,,,,,,,,8.87
2017-04-01T21:33:57.889619,,,,,,,,,,,
2017-04-01T21:33:57.889630,,,,,,5.934,,,,,5.934
2017-04-01T21:33:57.889639,,2854,,,,,,,,,2854
2017-04-01T21:33:57.889648,,,,,,,,,31.1,,31.1
2017-04-01T21:33:57.889655,,,,,,,,1541,,,1541
2017-04-01T21:33:57.889662,,,,,,,1.47,,,,1.47
2017-04-01T21:33:57.889668,,,1.001,,,,,,,,1.001
2017-04-01T21:33:57.889674,,,,0,,,,,,,0
2017-04-01T21:34:10.250480,8.89,,,,,,,,,,8.89
2017-04-01T21:34:10.250510,,,,,,,,,,,
2017-04-01T21:34:10.250523,,,,,,5.928,,,,,5.928
2017-04-01T21:34:10.250532,,2849,,,,,,,,,2849
2017-04-01T21:34:10.250540,,,,,,,,,31.1,,31.1
2017-04-01T21:34:10.250548,,,,,,,,1538,,,1538
2017-04-01T21:34:10.250555,,,,,,,1.47,,,,1.47
2017-04-01T21:34:10.250563,,,1.001,,,,,,,,1.001
2017-04-01T21:34:10.250572,,,,0,,,,,,,0
